,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
8818,03-Jun-17,10:37:52,0,1,0,Amber,B
8819,03-Jun-17,10:37:52,0,1,0,Amber,B
8820,03-Jun-17,10:37:52,0,1,0,Amber,B
8821,03-Jun-17,10:37:52,0,1,0,Amber,B
8822,03-Jun-17,10:37:52,0,1,0,Amber,B
8823,03-Jun-17,10:37:53,0,1,0,Amber,B
8824,03-Jun-17,10:37:53,0,1,0,Amber,B
8825,03-Jun-17,10:37:53,0,1,0,Amber,B
8826,03-Jun-17,10:37:53,0,1,0,Amber,B
9112,03-Jun-17,10:38:51,0,1,0,Amber,B
9113,03-Jun-17,10:38:51,0,1,0,Amber,B
9114,03-Jun-17,10:38:51,0,1,0,Amber,B
9115,03-Jun-17,10:38:51,0,1,0,Amber,B
9116,03-Jun-17,10:38:51,0,1,0,Amber,B
9117,03-Jun-17,10:38:51,0,1,0,Amber,B
9118,03-Jun-17,10:38:52,0,1,0,Amber,B
9119,03-Jun-17,10:38:52,0,1,0,Amber,B
9120,03-Jun-17,10:38:52,0,1,0,Amber,B
9121,03-Jun-17,10:38:52,0,1,0,Amber,B
9122,03-Jun-17,10:38:52,0,1,0,Amber,B
9123,03-Jun-17,10:38:53,0,1,0,Amber,B
9124,03-Jun-17,10:38:53,0,1,0,Amber,B
9125,03-Jun-17,10:38:53,0,1,0,Amber,B
9126,03-Jun-17,10:38:53,0,1,0,Amber,B
