,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
11835,24-Jun-17,17:53:42,1,1,0,RedAmber,C
11836,24-Jun-17,17:53:42,1,1,0,RedAmber,C
12127,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12128,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12129,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12130,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12131,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12132,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12133,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12134,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12135,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12136,24-Jun-17,17:53:43,1,1,0,RedAmber,C
12427,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12428,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12429,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12430,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12431,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12432,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12433,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12434,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12435,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12436,24-Jun-17,17:53:44,1,1,0,RedAmber,C
12727,24-Jun-17,17:53:45,1,1,0,RedAmber,C
12728,24-Jun-17,17:53:45,1,1,0,RedAmber,C
12729,24-Jun-17,17:53:45,1,1,0,RedAmber,C
12730,24-Jun-17,17:53:45,1,1,0,RedAmber,C
12731,24-Jun-17,17:53:45,1,1,0,RedAmber,C
12732,24-Jun-17,17:53:45,1,1,0,RedAmber,C
12733,24-Jun-17,17:53:45,1,1,0,RedAmber,C
12734,24-Jun-17,17:53:45,1,1,0,RedAmber,C
12735,24-Jun-17,17:53:45,1,1,0,RedAmber,C
12736,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13027,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13028,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13029,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13030,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13031,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13032,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13033,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13034,24-Jun-17,17:53:45,1,1,0,RedAmber,C
